Metascore,Name,Console,Userscore,ReleaseDate
98,Red Dead Redemption 2,XONE,5.9,26-Oct-18
98,Grand Theft Auto IV,PS3,7.5,29-Apr-08
98,Grand Theft Auto IV,X360,7.9,29-Apr-08
98,Tony Hawk's Pro Skater 2,PS,7.4,20-Sep-00
97,Grand Theft Auto V,PS3,8.3,17-Sep-13
97,Grand Theft Auto V,X360,8.3,17-Sep-13
97,Grand Theft Auto V,XONE,7.8,18-Nov-14
97,Grand Theft Auto V,PS4,8.3,18-Nov-14
97,Red Dead Redemption 2,PS4,7.7,26-Oct-18
97,The Legend of Zelda: Breath of the Wild,Switch,8.5,3-Mar-17
97,Super Mario Odyssey,Switch,8.9,27-Oct-17
97,Super Mario Galaxy 2,WII,9.1,23-May-10
97,Tony Hawk's Pro Skater 3,PS2,7.5,28-Oct-01
97,Grand Theft Auto III,PS2,8.5,22-Oct-01
97,Halo: Combat Evolved,XBOX,8.6,14-Nov-01
97,Super Mario Galaxy,WII,9,12-Nov-07
97,Tony Hawk's Pro Skater 2,DC,6.2,6-Nov-00
97,Perfect Dark,N64,8.9,22-May-00
97,NFL 2K1,DC,6.4,7-Sep-00
97,Metroid Prime,GC,9.2,17-Nov-02
96,Batman: Arkham City,PS3,8.7,18-Oct-11
96,The Elder Scrolls V: Skyrim,X360,8.5,11-Nov-11
96,The Legend of Zelda: Breath of the Wild,WIIU,8.2,3-Mar-17
96,Grand Theft Auto V,PC,7.7,14-Apr-15
96,Mass Effect 2,X360,8.9,26-Jan-10
96,Uncharted 2: Among Thieves,PS3,8.9,13-Oct-09
96,Metal Gear Solid 2: Sons of Liberty,PS2,8.8,12-Nov-01
96,The Legend of Zelda: Twilight Princess,GC,8.9,11-Dec-06
96,BioShock,X360,8.9,21-Aug-07
96,The Orange Box,X360,8.8,10-Oct-07
96,The Orange Box,PC,9.2,10-Oct-07
96,BioShock,PC,8.5,21-Aug-07
96,Half-Life 2,PC,9.1,16-Nov-04
96,The Legend of Zelda: The Wind Waker,GC,8.9,24-Mar-03
96,Grand Theft Auto Double Pack,XBOX,8,31-Oct-03
96,Resident Evil 4,GC,9.3,11-Jan-05
96,Resident Evil 4,PS2,9,25-Oct-05
95,The Last of Us,PS3,9.2,14-Jun-13
95,The Last of Us Remastered,PS4,9.1,29-Jul-14
95,Portal 2,PC,9,18-Apr-11
95,Portal 2,X360,8.7,19-Apr-11
95,Portal 2,PS3,8.5,19-Apr-11
95,Metal Gear Solid V: The Phantom Pain,XONE,7.4,1-Sep-15
95,Red Dead Redemption,PS3,8.9,18-May-10
95,Red Dead Redemption,X360,9,18-May-10
95,Gran Turismo 3: A-Spec,PS2,8.4,9-Jul-01
95,Tony Hawk's Pro Skater 2,GBA,7.1,30-May-01
95,The Legend of Zelda: Twilight Princess,WII,9,19-Nov-06
95,LittleBigPlanet,PS3,6.8,27-Oct-08
95,Baldur's Gate II: Shadows of Amn,PC,9.2,24-Sep-00
95,The Legend of Zelda: Majora's Mask,N64,9.1,25-Oct-00
95,Grand Theft Auto: San Andreas,PS2,9,26-Oct-04
95,Halo 2,XBOX,8.2,9-Nov-04
95,The Legend of Zelda Collector's Edition,GC,9,17-Nov-03
95,Grand Theft Auto: Vice City,PS2,8.8,27-Oct-02
95,The Legend of Zelda: A Link to the Past,GBA,8.9,3-Dec-02
95,Madden NFL 2003,PS2,7.4,12-Aug-02
94,BioShock Infinite,PS3,8.5,26-Mar-13
94,BioShock Infinite,PC,8.6,25-Mar-13
94,God of War,PS4,9.2,20-Apr-18
94,Celeste,XONE,6.4,26-Jan-18
94,Batman: Arkham City,X360,8.7,18-Oct-11
94,The Elder Scrolls V: Skyrim,PC,8.2,10-Nov-11
94,The Legend of Zelda: Ocarina of Time 3D,3DS,9,19-Jun-11
94,Mass Effect 2,PS3,8.5,17-Jan-11
94,Mass Effect 2,PC,8.8,26-Jan-10
94,Call of Duty: Modern Warfare 2,PS3,6.4,10-Nov-09
94,Street Fighter IV,PS3,7.3,17-Feb-09
94,Call of Duty: Modern Warfare 2,X360,6.4,10-Nov-09
94,Devil May Cry,PS2,8.6,16-Oct-01
94,Madden NFL 2002,PS2,7.4,19-Aug-01
94,Gears of War,X360,8.3,7-Nov-06
94,The Elder Scrolls IV: Oblivion,X360,8.7,20-Mar-06
94,The Elder Scrolls IV: Oblivion,PC,8.1,20-Mar-06
94,Metal Gear Solid 3: Subsistence,PS2,8.9,14-Mar-06
94,Call of Duty 4: Modern Warfare,PS3,8.4,5-Nov-07
94,Call of Duty 4: Modern Warfare,X360,8.5,5-Nov-07
94,Halo 3,X360,7.9,25-Sep-07
94,World of Goo,WII,8.7,13-Oct-08
94,BioShock,PS3,8.7,21-Oct-08
94,Metal Gear Solid 4: Guns of the Patriots,PS3,8.8,12-Jun-08
94,Final Fantasy IX,PS,9.2,13-Nov-00
94,Chrono Cross,PS,8.8,15-Aug-00
94,Jet Grind Radio,DC,8,30-Oct-00
94,Burnout 3: Takedown,XBOX,7.4,7-Sep-04
94,Grand Theft Auto: Vice City,PC,8.8,12-May-03
94,Madden NFL 2004,PS2,8.4,12-Aug-03
94,Super Mario Advance 4: Super Mario Bros. 3,GBA,8.9,21-Oct-03
94,NCAA Football 2004,PS2,8.7,16-Jul-03
94,Star Wars: Knights of the Old Republic,XBOX,9,17-Jul-03
94,Madden NFL 2004,GC,7,12-Aug-03
94,Ninja Gaiden Black,XBOX,8.7,20-Sep-05
94,Tom Clancy's Splinter Cell Chaos Theory,XBOX,8.9,28-Mar-05
94,God of War,PS2,8.9,22-Mar-05
94,Sid Meier's Civilization IV,PC,8.3,25-Oct-05
94,Tony Hawk's Pro Skater 4,PS2,8.4,23-Oct-02
94,Virtua Fighter 4,PS2,8.1,17-Mar-02
93,BioShock Infinite,X360,8.5,26-Mar-13
93,Super Mario 3D World,WIIU,8.9,22-Nov-13
93,Undertale,Switch,8.1,18-Sep-18
